make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
Kia,Forte,27.6057,Manual,6,FWD,1.6,4,Midsize,Y,Turbo,Regular,None,N
Kia,Forte FE,34.7078,CVT,1,FWD,2,4,Midsize,N,Natural,Regular,None,N
Kia,Forte,33.3395,CVT,1,FWD,2,4,Midsize,N,Natural,Regular,None,N
Kia,Forte,31.0015,Manual,6,FWD,2,4,Midsize,N,Natural,Regular,None,N
Genesis,G80 AWD,19.6948,Automatic,8,AWD,3.3,6,Large,Y,Turbo,Premium,None,N
Genesis,G80 RWD,20.2026,Automatic,8,RWD,3.3,6,Large,Y,Turbo,Premium,None,N
Genesis,G80 AWD,17.7991,Automatic,8,AWD,5,8,Large,Y,Natural,Premium,None,N
Genesis,G80 RWD,18.812,Automatic,8,RWD,5,8,Large,Y,Natural,Premium,None,N
Kia,Optima,30.5243,Manual,7,FWD,1.6,4,Large,Y,Turbo,Regular,None,N
Kia,Optima,24.2002,Automatic,6,FWD,2,4,Large,Y,Turbo,Regular,None,N
Kia,Optima,27.2397,Automatic,6,FWD,2.4,4,Large,Y,Natural,Regular,None,N
Kia,Optima FE,28.7747,Automatic,6,FWD,2.4,4,Large,Y,Natural,Regular,None,N
Ford,Transit Connect Van 2WD,25.1953,Automatic,8,FWD,2,4,SPV,Y,Natural,Regular,None,Y
Ford,Transit Connect Van FFV,25.1953,Automatic,8,FWD,2,4,SPV,Y,Natural,Regular,FFV,Y
Ford,Transit Connect Wagon LWB FWD,25.6715,Automatic,8,FWD,2,4,SPV,Y,Natural,Regular,None,Y
Ford,Transit Connect Wagon LWB FFV,25.6715,Automatic,8,FWD,2,4,SPV,Y,Natural,Regular,FFV,Y
Ford,Transit Connect Van 2WD,22.2684,Automatic,6,FWD,2.5,4,SPV,N,Natural,Regular,None,N
Ford,Transit Connect Wagon LWB FWD,22.2055,Automatic,6,FWD,2.5,4,SPV,N,Natural,Regular,None,N
Ford,Transit Connect USPS,22.2684,Automatic,6,FWD,2.5,4,SPV,N,Natural,Regular,None,N
Hyundai,Santa Fe FWD,22.5215,Automatic,8,FWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Hyundai,Santa Fe FWD,24.5725,Automatic,8,FWD,2.4,4,Sm SUV,Y,Natural,Regular,None,Y
Lexus,NX 300,24.6917,Automatic,6,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,N
Mitsubishi,Outlander 2WD,27.3502,CVT,6,FWD,2.4,4,Sm SUV,N,Natural,Regular,None,N
Hyundai,Santa Fe AWD,21.9071,Automatic,8,AWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Hyundai,Santa Fe AWD,23.5361,Automatic,8,AWD,2.4,4,Sm SUV,Y,Natural,Regular,None,Y
Lexus,NX 300h AWD,31,CVT,6,AWD,2.5,4,Sm SUV,N,Natural,Regular,Hybrid,Y
Lexus,NX 300 AWD,24.4161,Automatic,6,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,N
Lexus,NX 300 AWD F Sport,23.6858,Automatic,6,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,N
Mitsubishi,Outlander 4WD,25.9027,CVT,6,4WD,2.4,4,Sm SUV,N,Natural,Regular,None,N
Ford,Explorer RWD,24.2206,Automatic,10,RWD,2.3,4,Std SUV,Y,Turbo,Regular,None,Y
Lincoln,Aviator RWD,21.0078,Automatic,10,RWD,3,6,Std SUV,Y,Turbo,Regular,None,Y
Ford,Explorer AWD,23.2015,Automatic,10,PT 4WD,2.3,4,Std SUV,Y,Turbo,Regular,None,Y
Lincoln,Aviator AWD,19.7885,Automatic,10,PT 4WD,3,6,Std SUV,Y,Turbo,Regular,None,Y
Toyota,Prius Prime,54.4329,CVT,1,FWD,1.8,4,Midsize,N,Natural,Regular,Plug-in Hybrid,Y
Volvo,S60 FWD,27.389,Automatic,8,FWD,2,4,Compact,Y,Turbo,Premium,None,Y
Volvo,S60 AWD,25.0491,Automatic,8,AWD,2,4,Compact,Y,Super+Turbo,Premium,None,Y
Chevrolet,Malibu,31.5018,CVT,1,FWD,1.5,4,Midsize,Y,Turbo,Regular,None,Y
Volvo,S90 AWD,24.7474,Automatic,8,AWD,2,4,Midsize,Y,Super+Turbo,Premium,None,Y
Volvo,V60 FWD,27.389,Automatic,8,FWD,2,4,Sm St Wagon,Y,Turbo,Premium,None,Y
Volvo,V60 CC AWD,24.9238,Automatic,8,AWD,2,4,Sm St Wagon,Y,Turbo,Premium,None,Y
Volvo,V90 FWD,26,Automatic,8,FWD,2,4,Mid St Wagon,Y,Turbo,Premium,None,Y
Volvo,V90 AWD,24.7474,Automatic,8,AWD,2,4,Mid St Wagon,Y,Super+Turbo,Premium,None,Y
Volvo,V90 CC AWD,23.685,Automatic,8,AWD,2,4,Mid St Wagon,Y,Super+Turbo,Premium,None,Y
Chevrolet,Equinox FWD,28.1539,Automatic,6,FWD,1.5,4,Sm SUV,Y,Turbo,Regular,None,Y
Chevrolet,Equinox FWD,25.3669,Automatic,9,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
GMC,Terrain FWD,27.4108,Automatic,9,FWD,1.5,4,Sm SUV,Y,Turbo,Regular,None,Y
Volvo,XC60 FWD,24.4149,Automatic,8,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Volvo,XC40 FWD,26.7102,Automatic,8,FWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Chevrolet,Equinox AWD,27.3399,Automatic,6,AWD,1.5,4,Sm SUV,Y,Turbo,Regular,None,Y
Chevrolet,Equinox AWD,24.1864,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
